record_id,entity_type,canonical_entity_name,disease_scope,source_system,source_record_id,source_url,record_title,evidence_role,intervention_or_assay_type,biomarker_family,model_system_or_population,result_direction,off_patent_status,sponsor_type,phase_or_study_design,year,extraction_method,provenance_note
clinicaltrials_gov:NCT05971030,trial,Cortical brain stimulation of mPFC and dlPFC,alzheimers_disease,clinicaltrials_gov,NCT05971030,https://clinicaltrials.gov/study/NCT05971030,Clinical Exploratory Research of Medial Prefrontal Cortex Combined With Dorsolateral Prefrontal Cortex Electrical Stimulation in the Treatment of Alzheimer's Disease,trial_registration,device_or_stimulation,not_specified,Alzheimer Disease Electric Stimulation Therapy,not_yet_known,unknown,academic,NA,2023,api_structured,ClinicalTrials.gov v2 study query using query.cond=Alzheimer Disease
nih_reporter:1R01AG091310-01A1:2026,grant,CoMTAD: Cognitive Monitoring during Treatment for Alzheimer disease,alzheimers_disease,nih_reporter,1R01AG091310-01A1,https://reporter.nih.gov/project-details/11223475,CoMTAD: Cognitive Monitoring during Treatment for Alzheimer disease,grant_record,behavioral_or_lifestyle,amyloid,UNIVERSITY OF KANSAS MEDICAL CENTER,not_yet_known,not_applicable,academic,grant_project,2026,api_structured,NIH RePORTER project search term=Alzheimer disease; organization=UNIVERSITY OF KANSAS MEDICAL CENTER; agency_ic=National Institute on Aging
nih_reporter:1R01AG095248-01:2026,grant,"A fiber implant for long-term, deep-brain imaging and manipulation in mouse models of Alzheimer disease",alzheimers_disease,nih_reporter,1R01AG095248-01,https://reporter.nih.gov/project-details/11207392,"A fiber implant for long-term, deep-brain imaging and manipulation in mouse models of Alzheimer disease",grant_record,biomarker_or_assay,amyloid,WASHINGTON UNIVERSITY,not_yet_known,not_applicable,academic,grant_project,2026,api_structured,NIH RePORTER project search term=Alzheimer disease; organization=WASHINGTON UNIVERSITY; agency_ic=National Institute on Aging
nih_reporter:1R01AG096172-01:2026,grant,Alzheimer Disease Genetic Analysis to Identify Potential Therapeutic Targets (ADAPTT),alzheimers_disease,nih_reporter,1R01AG096172-01,https://reporter.nih.gov/project-details/11224105,Alzheimer Disease Genetic Analysis to Identify Potential Therapeutic Targets (ADAPTT),grant_record,biomarker_or_assay,not_specified,CASE WESTERN RESERVE UNIVERSITY,not_yet_known,not_applicable,academic,grant_project,2026,api_structured,NIH RePORTER project search term=Alzheimer disease; organization=CASE WESTERN RESERVE UNIVERSITY; agency_ic=National Institute on Aging
nih_reporter:4R01AG082030-02:2026,grant,Deep-Learning-Augmented Quantitative Gradient Recalled Echo (DLA-qGRE) MRI for in vivo Clinical Evaluation of Brain Microstructural Neurodegeneration in Alzheimer Disease,alzheimers_disease,nih_reporter,4R01AG082030-02,https://reporter.nih.gov/project-details/11456934,Deep-Learning-Augmented Quantitative Gradient Recalled Echo (DLA-qGRE) MRI for in vivo Clinical Evaluation of Brain Microstructural Neurodegeneration in Alzheimer Disease,grant_record,biomarker_or_assay,amyloid,WASHINGTON UNIVERSITY,not_yet_known,not_applicable,academic,grant_project,2026,api_structured,NIH RePORTER project search term=Alzheimer disease; organization=WASHINGTON UNIVERSITY; agency_ic=National Institute on Aging
nih_reporter:5K01AG080123-04:2026,grant,Evaluation of the neurovascular unit in the setting of pathogenesis and treatment of autosomal dominant Alzheimer disease,alzheimers_disease,nih_reporter,5K01AG080123-04,https://reporter.nih.gov/project-details/11262301,Evaluation of the neurovascular unit in the setting of pathogenesis and treatment of autosomal dominant Alzheimer disease,grant_record,biomarker_or_assay,amyloid,WASHINGTON UNIVERSITY,not_yet_known,not_applicable,academic,grant_project,2026,api_structured,NIH RePORTER project search term=Alzheimer disease; organization=WASHINGTON UNIVERSITY; agency_ic=National Institute on Aging
nih_reporter:5P30AG066444-07:2026,grant,Alzheimer's Disease Research Center,alzheimers_disease,nih_reporter,5P30AG066444-07,https://reporter.nih.gov/project-details/11382424,Alzheimer's Disease Research Center,grant_record,biomarker_or_assay,molecular_imaging,WASHINGTON UNIVERSITY,not_yet_known,not_applicable,academic,grant_project,2026,api_structured,NIH RePORTER project search term=Alzheimer disease; organization=WASHINGTON UNIVERSITY; agency_ic=National Institute on Aging
nih_reporter:5R01AG082135-04:2026,grant,Sex-specific regulation of microRNAs in Alzheimer Disease,alzheimers_disease,nih_reporter,5R01AG082135-04,https://reporter.nih.gov/project-details/11242036,Sex-specific regulation of microRNAs in Alzheimer Disease,grant_record,not_specified,not_specified,LOYOLA UNIVERSITY CHICAGO,not_yet_known,not_applicable,academic,grant_project,2026,api_structured,NIH RePORTER project search term=Alzheimer disease; organization=LOYOLA UNIVERSITY CHICAGO; agency_ic=National Institute on Aging
nih_reporter:5R01DC014942-09:2026,grant,The neurobiology of two distinct subtypes of neurodegenerative apraxia of speech: phenotypes of Alzheimer disease related 4-repeat tauopathies,alzheimers_disease,nih_reporter,5R01DC014942-09,https://reporter.nih.gov/project-details/11305994,The neurobiology of two distinct subtypes of neurodegenerative apraxia of speech: phenotypes of Alzheimer disease related 4-repeat tauopathies,grant_record,biomarker_or_assay,tau,MAYO CLINIC ROCHESTER,not_yet_known,not_applicable,unknown,grant_project,2026,api_structured,NIH RePORTER project search term=Alzheimer disease; organization=MAYO CLINIC ROCHESTER; agency_ic=National Institute on Deafness and Other Communication Disorders
openfda:event:brexpiprazole:death,regulatory_signal,Brexpiprazole,alzheimers_disease,openfda,brexpiprazole:death,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:%22brexpiprazole%22&count=patient.reaction.reactionmeddrapt.exact&limit=2,Brexpiprazole adverse-event signal: DEATH,adverse_event_signal,not_specified,not_specified,postmarketing_spontaneous_reports,neutral_or_descriptive,on_patent_or_proprietary,industry,aggregated_adverse_event_signal,2026,api_structured,"openFDA drug/event aggregate query=patient.drug.medicinalproduct:""brexpiprazole""; top_reaction=DEATH; count=265"
openfda:event:brexpiprazole:drug_ineffective,regulatory_signal,Brexpiprazole,alzheimers_disease,openfda,brexpiprazole:drug_ineffective,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:%22brexpiprazole%22&count=patient.reaction.reactionmeddrapt.exact&limit=2,Brexpiprazole adverse-event signal: DRUG INEFFECTIVE,adverse_event_signal,not_specified,not_specified,postmarketing_spontaneous_reports,neutral_or_descriptive,on_patent_or_proprietary,industry,aggregated_adverse_event_signal,2026,api_structured,"openFDA drug/event aggregate query=patient.drug.medicinalproduct:""brexpiprazole""; top_reaction=DRUG INEFFECTIVE; count=247"
openfda:event:donanemab:chills,regulatory_signal,Donanemab,mild_cognitive_impairment,openfda,donanemab:chills,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:%22donanemab%22&count=patient.reaction.reactionmeddrapt.exact&limit=2,Donanemab adverse-event signal: CHILLS,adverse_event_signal,monoclonal_antibody,not_specified,postmarketing_spontaneous_reports,neutral_or_descriptive,on_patent_or_proprietary,industry,aggregated_adverse_event_signal,2026,api_structured,"openFDA drug/event aggregate query=patient.drug.medicinalproduct:""donanemab""; top_reaction=CHILLS; count=6"
openfda:event:donanemab:infusion_related_reaction,regulatory_signal,Donanemab,mild_cognitive_impairment,openfda,donanemab:infusion_related_reaction,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:%22donanemab%22&count=patient.reaction.reactionmeddrapt.exact&limit=2,Donanemab adverse-event signal: INFUSION RELATED REACTION,adverse_event_signal,monoclonal_antibody,not_specified,postmarketing_spontaneous_reports,neutral_or_descriptive,on_patent_or_proprietary,industry,aggregated_adverse_event_signal,2026,api_structured,"openFDA drug/event aggregate query=patient.drug.medicinalproduct:""donanemab""; top_reaction=INFUSION RELATED REACTION; count=9"
openfda:event:donepezil:death,regulatory_signal,Donepezil,alzheimers_disease,openfda,donepezil:death,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:%22donepezil%22&count=patient.reaction.reactionmeddrapt.exact&limit=2,Donepezil adverse-event signal: DEATH,adverse_event_signal,small_molecule,not_specified,postmarketing_spontaneous_reports,neutral_or_descriptive,off_patent,industry,aggregated_adverse_event_signal,2026,api_structured,"openFDA drug/event aggregate query=patient.drug.medicinalproduct:""donepezil""; top_reaction=DEATH; count=1536"
openfda:event:donepezil:fall,regulatory_signal,Donepezil,alzheimers_disease,openfda,donepezil:fall,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:%22donepezil%22&count=patient.reaction.reactionmeddrapt.exact&limit=2,Donepezil adverse-event signal: FALL,adverse_event_signal,small_molecule,not_specified,postmarketing_spontaneous_reports,neutral_or_descriptive,off_patent,industry,aggregated_adverse_event_signal,2026,api_structured,"openFDA drug/event aggregate query=patient.drug.medicinalproduct:""donepezil""; top_reaction=FALL; count=2152"
openfda:event:galantamine:cognitive_disorder,regulatory_signal,Galantamine,alzheimers_disease,openfda,galantamine:cognitive_disorder,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:%22galantamine%22&count=patient.reaction.reactionmeddrapt.exact&limit=2,Galantamine adverse-event signal: COGNITIVE DISORDER,adverse_event_signal,small_molecule,not_specified,postmarketing_spontaneous_reports,neutral_or_descriptive,off_patent,industry,aggregated_adverse_event_signal,2026,api_structured,"openFDA drug/event aggregate query=patient.drug.medicinalproduct:""galantamine""; top_reaction=COGNITIVE DISORDER; count=675"
openfda:event:galantamine:fall,regulatory_signal,Galantamine,alzheimers_disease,openfda,galantamine:fall,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:%22galantamine%22&count=patient.reaction.reactionmeddrapt.exact&limit=2,Galantamine adverse-event signal: FALL,adverse_event_signal,small_molecule,not_specified,postmarketing_spontaneous_reports,neutral_or_descriptive,off_patent,industry,aggregated_adverse_event_signal,2026,api_structured,"openFDA drug/event aggregate query=patient.drug.medicinalproduct:""galantamine""; top_reaction=FALL; count=859"
openfda:event:lecanemab:amyloid_related_imaging_abnormality_microhaemorrhages_and_haemosiderin_deposits,regulatory_signal,Lecanemab,mild_cognitive_impairment,openfda,lecanemab:amyloid_related_imaging_abnormality_microhaemorrhages_and_haemosiderin_deposits,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:%22lecanemab%22&count=patient.reaction.reactionmeddrapt.exact&limit=2,Lecanemab adverse-event signal: AMYLOID RELATED IMAGING ABNORMALITY-MICROHAEMORRHAGES AND HAEMOSIDERIN DEPOSITS,adverse_event_signal,monoclonal_antibody,amyloid,postmarketing_spontaneous_reports,neutral_or_descriptive,on_patent_or_proprietary,industry,aggregated_adverse_event_signal,2026,api_structured,"openFDA drug/event aggregate query=patient.drug.medicinalproduct:""lecanemab""; top_reaction=AMYLOID RELATED IMAGING ABNORMALITY-MICROHAEMORRHAGES AND HAEMOSIDERIN DEPOSITS; count=42"
openfda:event:lecanemab:amyloid_related_imaging_abnormality_oedema_effusion,regulatory_signal,Lecanemab,mild_cognitive_impairment,openfda,lecanemab:amyloid_related_imaging_abnormality_oedema_effusion,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:%22lecanemab%22&count=patient.reaction.reactionmeddrapt.exact&limit=2,Lecanemab adverse-event signal: AMYLOID RELATED IMAGING ABNORMALITY-OEDEMA/EFFUSION,adverse_event_signal,monoclonal_antibody,amyloid,postmarketing_spontaneous_reports,neutral_or_descriptive,on_patent_or_proprietary,industry,aggregated_adverse_event_signal,2026,api_structured,"openFDA drug/event aggregate query=patient.drug.medicinalproduct:""lecanemab""; top_reaction=AMYLOID RELATED IMAGING ABNORMALITY-OEDEMA/EFFUSION; count=51"
openfda:event:memantine:death,regulatory_signal,Memantine,alzheimers_disease,openfda,memantine:death,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:%22memantine%22&count=patient.reaction.reactionmeddrapt.exact&limit=2,Memantine adverse-event signal: DEATH,adverse_event_signal,small_molecule,not_specified,postmarketing_spontaneous_reports,neutral_or_descriptive,off_patent,industry,aggregated_adverse_event_signal,2026,api_structured,"openFDA drug/event aggregate query=patient.drug.medicinalproduct:""memantine""; top_reaction=DEATH; count=1015"
openfda:event:memantine:fall,regulatory_signal,Memantine,alzheimers_disease,openfda,memantine:fall,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:%22memantine%22&count=patient.reaction.reactionmeddrapt.exact&limit=2,Memantine adverse-event signal: FALL,adverse_event_signal,small_molecule,not_specified,postmarketing_spontaneous_reports,neutral_or_descriptive,off_patent,industry,aggregated_adverse_event_signal,2026,api_structured,"openFDA drug/event aggregate query=patient.drug.medicinalproduct:""memantine""; top_reaction=FALL; count=1220"
openfda:event:rivastigmine:fall,regulatory_signal,Rivastigmine,alzheimers_disease,openfda,rivastigmine:fall,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:%22rivastigmine%22&count=patient.reaction.reactionmeddrapt.exact&limit=2,Rivastigmine adverse-event signal: FALL,adverse_event_signal,small_molecule,not_specified,postmarketing_spontaneous_reports,neutral_or_descriptive,off_patent,industry,aggregated_adverse_event_signal,2026,api_structured,"openFDA drug/event aggregate query=patient.drug.medicinalproduct:""rivastigmine""; top_reaction=FALL; count=849"
openfda:event:rivastigmine:hallucination,regulatory_signal,Rivastigmine,alzheimers_disease,openfda,rivastigmine:hallucination,https://api.fda.gov/drug/event.json?search=patient.drug.medicinalproduct:%22rivastigmine%22&count=patient.reaction.reactionmeddrapt.exact&limit=2,Rivastigmine adverse-event signal: HALLUCINATION,adverse_event_signal,small_molecule,not_specified,postmarketing_spontaneous_reports,neutral_or_descriptive,off_patent,industry,aggregated_adverse_event_signal,2026,api_structured,"openFDA drug/event aggregate query=patient.drug.medicinalproduct:""rivastigmine""; top_reaction=HALLUCINATION; count=866"
openfda:label:0044f1d7-613c-4611-8481-13032c8cb390,intervention,Rivastigmine,alzheimers_disease,openfda,0044f1d7-613c-4611-8481-13032c8cb390,https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22rivastigmine%22&limit=1,Rivastigmine Tartrate label,drug_label,small_molecule,not_specified,fda_label_population,neutral_or_descriptive,off_patent,industry,regulatory_label,2022,api_structured,"openFDA drug/label query=openfda.generic_name:""rivastigmine""; brand=Rivastigmine Tartrate; manufacturer=Alembic Pharmaceuticals Inc."
openfda:label:6507f292-90e7-408c-baf5-4475fc31a06d,intervention,Brexpiprazole,alzheimers_disease,openfda,6507f292-90e7-408c-baf5-4475fc31a06d,https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22brexpiprazole%22&limit=1,Rexulti label,drug_label,not_specified,not_specified,fda_label_population,neutral_or_descriptive,on_patent_or_proprietary,industry,regulatory_label,2025,api_structured,"openFDA drug/label query=openfda.generic_name:""brexpiprazole""; brand=Rexulti; manufacturer=Otsuka America Pharmaceutical, Inc."
openfda:label:81ef20f0-d4f7-4f69-b081-e297224b653f,intervention,Lecanemab,mild_cognitive_impairment,openfda,81ef20f0-d4f7-4f69-b081-e297224b653f,https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22lecanemab%22&limit=1,LEQEMBI label,drug_label,monoclonal_antibody,amyloid,fda_label_population,neutral_or_descriptive,on_patent_or_proprietary,industry,regulatory_label,2026,api_structured,"openFDA drug/label query=openfda.generic_name:""lecanemab""; brand=LEQEMBI; manufacturer=Eisai Inc."
openfda:label:85d3d68b-57f9-45e6-a1a7-fa19bc843f33,intervention,Donanemab,mild_cognitive_impairment,openfda,85d3d68b-57f9-45e6-a1a7-fa19bc843f33,https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22donanemab%22&limit=1,Kisunla label,drug_label,monoclonal_antibody,amyloid,fda_label_population,neutral_or_descriptive,on_patent_or_proprietary,unknown,regulatory_label,2025,api_structured,"openFDA drug/label query=openfda.generic_name:""donanemab""; brand=Kisunla; manufacturer=Eli Lilly and Company"
openfda:label:9c064bce-c710-4580-80d7-949d1b974838,intervention,Galantamine,alzheimers_disease,openfda,9c064bce-c710-4580-80d7-949d1b974838,https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22galantamine%22&limit=1,Galantamine Hydrobromide label,drug_label,small_molecule,not_specified,fda_label_population,neutral_or_descriptive,off_patent,unknown,regulatory_label,2025,api_structured,"openFDA drug/label query=openfda.generic_name:""galantamine""; brand=Galantamine Hydrobromide; manufacturer=Bryant Ranch Prepack"
openfda:label:cf08de43-a887-40f3-a074-57ecc8d3093a,intervention,Memantine,alzheimers_disease,openfda,cf08de43-a887-40f3-a074-57ecc8d3093a,https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22memantine%22&limit=1,Memantine hydrochloride label,drug_label,small_molecule,not_specified,fda_label_population,neutral_or_descriptive,off_patent,industry,regulatory_label,2023,api_structured,"openFDA drug/label query=openfda.generic_name:""memantine""; brand=Memantine hydrochloride; manufacturer=Amneal Pharmaceuticals of New York LLC"
openfda:label:f8867ea9-a608-4b0f-9052-fa5c44d7e7c2,intervention,Donepezil,alzheimers_disease,openfda,f8867ea9-a608-4b0f-9052-fa5c44d7e7c2,https://api.fda.gov/drug/label.json?search=openfda.generic_name:%22donepezil%22&limit=1,DONEPEZIL HYDROCHLORIDE label,drug_label,small_molecule,not_specified,fda_label_population,neutral_or_descriptive,off_patent,industry,regulatory_label,2024,api_structured,"openFDA drug/label query=openfda.generic_name:""donepezil""; brand=DONEPEZIL HYDROCHLORIDE; manufacturer=Lupin Pharmaceuticals, Inc."
